;Age;Attrition;BusinessTravel;Department;DistanceFromHome;Education;EducationField;EnvironmentSatisfaction;Gender;JobInvolvement;JobRole;JobSatisfaction;MaritalStatus;MonthlyIncome;NumCompaniesWorked;OverTime;PerformanceRating;RelationshipSatisfaction;TotalWorkingYears;TrainingTimesLastYear;YearsAtCompany;YearsInCurrentRole;YearsSinceLastPromotion;YearsWithCurrManager
46;34;No;Non-Travel;Sales;23;4;Marketing;2;Male;3;Sales Executive;3;Single;4568;0;No;4;3;10;2;9;5;8;7
47;37;No;Travel_Rarely;Research & Development;19;2;Life Sciences;2;Male;3;Research Scientist;2;Married;3022;4;No;4;1;8;1;1;0;0;0
48;46;No;Travel_Frequently;Sales;5;4;Marketing;1;Male;3;Sales Executive;4;Single;5772;4;Yes;4;3;14;4;9;6;0;8
49;35;No;Travel_Rarely;Research & Development;8;1;Life Sciences;4;Male;4;Laboratory Technician;4;Married;2269;1;No;3;4;1;2;1;0;0;1
50;48;Yes;Travel_Rarely;Research & Development;1;2;Life Sciences;1;Male;2;Laboratory Technician;3;Single;5381;9;Yes;3;4;23;2;1;0;0;0
51;28;Yes;Travel_Rarely;Research & Development;5;4;Technical Degree;3;Male;3;Laboratory Technician;3;Single;3441;1;Yes;3;3;2;3;2;2;2;2
52;44;No;Travel_Rarely;Sales;1;5;Marketing;2;Female;3;Sales Executive;1;Divorced;5454;5;Yes;4;3;9;2;4;3;1;3
53;35;No;Non-Travel;Research & Development;11;2;Medical;3;Male;2;Healthcare Representative;1;Married;9884;2;Yes;3;3;10;3;4;0;2;3
54;26;No;Travel_Rarely;Sales;23;3;Marketing;3;Female;2;Sales Executive;4;Married;4157;7;Yes;3;3;5;2;2;2;0;0
55;33;No;Travel_Frequently;Research & Development;1;2;Life Sciences;1;Female;3;Research Director;4;Single;13458;1;Yes;3;3;15;1;15;14;8;12
56;35;No;Travel_Frequently;Sales;18;5;Life Sciences;2;Male;3;Sales Executive;1;Married;9069;1;No;4;4;9;3;9;8;1;8
57;35;No;Travel_Rarely;Research & Development;23;4;Medical;3;Female;3;Laboratory Technician;1;Married;4014;3;Yes;3;3;4;3;2;2;2;2
58;31;No;Travel_Rarely;Research & Development;7;4;Life Sciences;4;Male;3;Laboratory Technician;4;Divorced;5915;3;No;4;4;10;3;7;7;1;7
59;37;No;Travel_Rarely;Research & Development;1;4;Life Sciences;1;Male;2;Manufacturing Director;3;Divorced;5993;1;No;3;3;7;2;7;5;0;7
60;32;No;Travel_Rarely;Research & Development;1;3;Medical;1;Male;3;Manufacturing Director;4;Married;6162;1;Yes;4;2;9;3;9;8;7;8
61;38;No;Travel_Frequently;Research & Development;29;5;Life Sciences;4;Female;3;Laboratory Technician;4;Single;2406;1;No;3;4;10;2;10;3;9;9
62;50;No;Travel_Rarely;Research & Development;7;2;Medical;2;Female;2;Research Director;3;Divorced;18740;5;Yes;3;4;29;2;27;3;13;8
63;59;No;Travel_Rarely;Sales;25;3;Life Sciences;1;Female;3;Sales Executive;1;Single;7637;7;No;3;4;28;3;21;16;7;9
64;36;No;Travel_Rarely;Research & Development;8;3;Technical Degree;3;Female;3;Healthcare Representative;3;Divorced;10096;1;No;3;2;17;2;17;14;12;8
65;55;No;Travel_Rarely;Research & Development;8;3;Medical;4;Female;3;Manager;3;Divorced;14756;2;Yes;3;3;21;2;5;0;0;2
66;36;No;Travel_Frequently;Research & Development;11;3;Life Sciences;2;Male;2;Manufacturing Director;2;Single;6499;1;No;3;3;6;3;6;5;0;3
67;45;No;Travel_Rarely;Research & Development;7;3;Life Sciences;2;Male;3;Research Scientist;1;Divorced;9724;2;No;3;3;25;2;1;0;0;0
68;35;No;Travel_Frequently;Research & Development;1;3;Medical;2;Male;3;Research Scientist;1;Married;2194;4;No;3;4;5;2;3;2;1;2
69;36;Yes;Travel_Rarely;Research & Development;9;3;Medical;4;Male;2;Research Scientist;3;Married;3388;0;Yes;3;1;2;0;1;0;0;0
70;59;No;Travel_Frequently;Sales;1;1;Life Sciences;1;Female;2;Sales Executive;3;Single;5473;7;No;3;4;20;2;4;3;1;3
71;29;No;Travel_Rarely;Research & Development;2;3;Life Sciences;3;Male;3;Research Scientist;2;Married;2703;0;No;4;4;6;3;5;4;0;4
72;31;No;Travel_Rarely;Research & Development;1;4;Medical;3;Male;3;Research Scientist;2;Single;2501;1;No;3;2;1;4;1;1;1;0
73;32;No;Travel_Rarely;Research & Development;1;3;Life Sciences;2;Male;3;Research Scientist;2;Married;6220;1;No;3;2;10;3;10;4;0;9
74;36;No;Travel_Rarely;Research & Development;6;3;Life Sciences;2;Female;4;Laboratory Technician;4;Married;3038;3;No;3;2;5;3;1;0;0;0
75;31;No;Travel_Rarely;Research & Development;8;4;Life Sciences;3;Female;3;Manufacturing Director;4;Single;4424;1;No;4;4;11;2;11;7;1;8
76;35;No;Travel_Rarely;Sales;1;4;Marketing;3;Male;2;Sales Executive;1;Single;4312;0;No;3;2;16;2;15;13;2;8
77;45;No;Travel_Rarely;Research & Development;6;4;Other;4;Male;3;Research Director;1;Married;13245;4;Yes;3;2;17;3;0;0;0;0
78;37;No;Travel_Rarely;Research & Development;7;4;Medical;1;Male;3;Research Director;3;Single;13664;4;No;3;1;16;3;5;2;0;2
79;46;No;Travel_Rarely;Human Resources;5;2;Medical;2;Male;3;Human Resources;2;Divorced;5021;8;Yes;4;4;16;2;4;2;0;2
80;30;No;Travel_Rarely;Research & Development;1;1;Life Sciences;4;Male;2;Laboratory Technician;4;Married;5126;1;Yes;3;3;10;1;10;8;3;0
81;35;No;Travel_Rarely;Research & Development;1;3;Medical;2;Male;2;Research Scientist;3;Single;2859;1;No;3;1;6;3;6;4;0;4
82;55;No;Travel_Rarely;Sales;1;2;Life Sciences;1;Male;3;Sales Executive;4;Married;10239;3;No;3;4;24;4;1;0;1;0
83;38;No;Non-Travel;Research & Development;6;3;Medical;2;Female;1;Research Scientist;4;Divorced;5329;7;Yes;3;4;17;3;13;11;1;9
84;34;No;Travel_Rarely;Research & Development;1;2;Medical;1;Male;3;Manufacturing Director;2;Married;4325;1;No;3;3;5;2;5;2;1;3
85;56;No;Travel_Rarely;Research & Development;7;3;Life Sciences;4;Male;1;Manufacturing Director;4;Single;7260;4;No;3;1;37;3;6;4;0;2
86;23;No;Travel_Rarely;Sales;2;1;Technical Degree;3;Male;3;Sales Representative;1;Divorced;2322;3;No;3;3;3;3;0;0;0;0
87;51;No;Travel_Rarely;Research & Development;9;4;Life Sciences;4;Male;3;Laboratory Technician;4;Married;2075;3;No;4;2;10;4;4;2;0;3
88;30;No;Travel_Rarely;Research & Development;2;3;Life Sciences;3;Male;2;Healthcare Representative;4;Married;4152;1;No;3;1;11;3;11;10;10;8
89;46;Yes;Travel_Rarely;Sales;9;2;Medical;3;Male;2;Sales Executive;4;Single;9619;1;No;3;4;9;3;9;8;4;7
90;40;No;Travel_Frequently;Research & Development;1;4;Life Sciences;3;Male;2;Healthcare Representative;2;Married;13503;1;No;4;4;22;3;22;3;11;11
91;51;No;Travel_Rarely;Sales;21;4;Marketing;3;Male;3;Sales Executive;4;Single;5441;0;Yes;4;4;11;2;10;7;1;0
92;30;No;Travel_Rarely;Sales;4;2;Medical;3;Female;2;Sales Executive;2;Divorced;5209;1;Yes;3;2;11;4;11;8;2;7
93;46;No;Travel_Frequently;Research & Development;1;3;Medical;3;Male;2;Healthcare Representative;1;Married;10673;2;Yes;3;3;21;5;10;9;9;5
94;32;No;Travel_Rarely;Sales;6;4;Medical;2;Male;3;Sales Executive;3;Single;5010;1;No;3;1;12;0;11;8;5;7
95;54;No;Travel_Rarely;Research & Development;2;4;Technical Degree;1;Female;3;Research Director;3;Married;13549;9;No;3;1;16;5;4;3;0;3
96;24;No;Travel_Rarely;Sales;3;2;Other;1;Female;3;Sales Executive;3;Married;4999;0;No;4;1;4;2;3;2;0;2
97;28;No;Non-Travel;Sales;4;3;Medical;2;Male;3;Sales Executive;3;Married;4221;1;No;3;2;5;3;5;4;0;4
98;58;No;Travel_Rarely;Sales;10;4;Medical;4;Male;3;Sales Executive;3;Single;13872;0;No;3;3;38;1;37;10;1;8
99;44;No;Non-Travel;Research & Development;23;3;Medical;2;Male;3;Laboratory Technician;2;Married;2042;4;No;3;3;17;3;3;2;1;2
100;37;Yes;Travel_Rarely;Human Resources;6;4;Human Resources;3;Male;3;Human Resources;1;Divorced;2073;4;Yes;4;4;7;3;3;2;0;2
101;32;No;Travel_Rarely;Research & Development;1;1;Life Sciences;4;Male;3;Research Scientist;1;Single;2956;1;No;3;4;1;2;1;0;0;0
102;20;Yes;Travel_Frequently;Research & Development;6;3;Life Sciences;4;Female;2;Laboratory Technician;4;Single;2926;1;Yes;3;2;1;5;1;0;1;0
103;34;No;Travel_Rarely;Research & Development;6;4;Other;1;Female;3;Research Scientist;3;Single;4809;1;No;3;3;16;3;16;13;2;10
104;37;No;Non-Travel;Research & Development;2;2;Life Sciences;3;Male;2;Healthcare Representative;4;Divorced;5163;5;No;3;4;17;2;1;0;0;0
105;59;No;Non-Travel;Human Resources;2;4;Human Resources;3;Female;2;Manager;4;Married;18844;9;No;4;4;30;3;3;2;2;2
106;50;No;Travel_Frequently;Research & Development;1;3;Life Sciences;1;Female;3;Research Director;2;Married;18172;3;Yes;3;1;28;1;8;3;0;7
107;25;Yes;Travel_Rarely;Sales;5;3;Marketing;3;Male;2;Sales Executive;3;Single;5744;1;Yes;3;4;6;1;6;4;0;3
108;25;No;Travel_Rarely;Research & Development;7;1;Medical;4;Male;2;Research Scientist;4;Married;2889;1;No;3;3;2;2;2;2;2;1
109;22;No;Travel_Rarely;Research & Development;15;3;Medical;2;Female;3;Laboratory Technician;4;Single;2871;1;No;3;3;1;5;0;0;0;0
110;51;No;Travel_Frequently;Research & Development;1;4;Medical;1;Female;2;Healthcare Representative;1;Single;7484;3;No;4;3;23;1;13;12;12;8
111;34;Yes;Travel_Frequently;Research & Development;7;3;Life Sciences;1;Male;1;Laboratory Technician;3;Single;6074;1;Yes;4;4;9;3;9;7;0;6
112;54;No;Non-Travel;Human Resources;26;3;Human Resources;4;Female;4;Manager;4;Single;17328;2;Yes;3;3;23;3;5;3;4;4
113;24;No;Travel_Rarely;Research & Development;18;1;Life Sciences;2;Male;3;Laboratory Technician;3;Married;2774;0;No;3;3;6;2;5;3;1;2
114;34;No;Travel_Rarely;Research & Development;6;4;Life Sciences;3;Female;2;Research Scientist;2;Divorced;4505;6;No;3;3;12;3;1;0;0;0
115;37;No;Travel_Rarely;Sales;3;3;Life Sciences;3;Male;3;Sales Executive;4;Single;7428;2;No;3;1;12;3;5;3;1;3
116;34;No;Travel_Rarely;Research & Development;5;3;Medical;3;Female;2;Manager;1;Single;11631;2;No;3;4;14;6;11;10;5;8
117;36;No;Travel_Frequently;Sales;11;2;Technical Degree;2;Female;3;Sales Executive;4;Married;9738;0;No;3;3;10;6;9;7;2;8
118;36;No;Travel_Rarely;Research & Development;3;2;Life Sciences;1;Female;3;Laboratory Technician;4;Divorced;2835;5;No;4;1;7;2;1;0;0;0
119;43;No;Travel_Frequently;Sales;26;2;Life Sciences;3;Male;3;Manager;4;Married;16959;1;Yes;3;4;25;3;25;12;4;12
120;30;No;Travel_Frequently;Research & Development;23;3;Life Sciences;1;Male;1;Research Scientist;3;Divorced;2613;1;No;4;3;10;2;10;7;0;9
121;33;No;Non-Travel;Sales;22;2;Marketing;3;Male;3;Sales Executive;2;Married;6146;0;No;3;1;8;2;7;7;0;7
122;56;Yes;Travel_Rarely;Research & Development;14;4;Life Sciences;2;Female;3;Research Scientist;2;Married;4963;9;Yes;3;1;7;2;5;4;4;3
123;51;No;Travel_Rarely;Research & Development;6;3;Life Sciences;1;Male;3;Research Director;3;Single;19537;7;No;3;3;23;5;20;18;15;15
124;31;Yes;Travel_Rarely;Sales;6;4;Life Sciences;2;Male;1;Sales Executive;3;Married;6172;4;Yes;3;2;12;3;7;7;7;7
125;26;No;Travel_Rarely;Research & Development;6;3;Other;3;Female;2;Research Scientist;2;Married;2368;1;No;3;3;5;3;5;4;4;3
126;58;Yes;Travel_Rarely;Research & Development;23;4;Medical;4;Female;3;Healthcare Representative;4;Married;10312;1;No;3;4;40;3;40;10;15;6
127;19;Yes;Travel_Rarely;Sales;22;1;Marketing;4;Male;3;Sales Representative;3;Single;1675;1;Yes;3;4;0;2;0;0;0;0
128;22;No;Travel_Rarely;Research & Development;2;1;Technical Degree;3;Male;3;Laboratory Technician;4;Married;2523;0;No;3;3;3;2;2;1;2;1
129;49;No;Travel_Rarely;Research & Development;20;4;Medical;3;Female;3;Manufacturing Director;1;Married;6567;1;No;3;3;16;2;15;11;5;11
130;43;No;Travel_Frequently;Research & Development;28;3;Medical;2;Female;4;Research Scientist;3;Single;4739;4;No;3;4;18;2;3;2;1;2
131;50;No;Travel_Frequently;Sales;12;3;Marketing;3;Female;3;Sales Executive;4;Single;9208;4;No;3;4;16;3;2;2;2;1
132;31;Yes;Travel_Rarely;Sales;20;3;Life Sciences;2;Female;1;Sales Executive;3;Married;4559;3;Yes;3;3;4;2;2;2;2;2
133;41;No;Travel_Rarely;Sales;9;1;Life Sciences;3;Male;3;Sales Executive;3;Divorced;8189;3;Yes;3;3;12;2;9;7;0;7
134;26;No;Travel_Rarely;Human Resources;25;1;Life Sciences;3;Female;3;Human Resources;3;Married;2942;1;No;4;4;8;3;8;7;5;7
135;36;No;Travel_Rarely;Research & Development;6;2;Medical;2;Male;3;Manufacturing Director;2;Divorced;4941;6;No;4;4;7;0;3;2;0;1
136;51;Yes;Travel_Frequently;Research & Development;8;4;Life Sciences;1;Male;1;Manufacturing Director;4;Single;10650;2;No;3;4;18;2;4;2;0;3
137;39;No;Travel_Rarely;Sales;4;4;Life Sciences;4;Female;2;Sales Executive;3;Married;5902;4;No;3;3;17;1;15;11;5;9
138;25;No;Travel_Rarely;Sales;28;3;Life Sciences;1;Male;2;Sales Executive;3;Married;8639;2;No;3;4;6;3;2;2;2;2
139;30;No;Travel_Rarely;Human Resources;9;3;Human Resources;3;Male;3;Human Resources;4;Married;6347;0;Yes;3;4;12;2;11;9;4;7
140;32;Yes;Travel_Rarely;Research & Development;9;3;Medical;1;Female;3;Laboratory Technician;1;Single;4200;7;No;4;1;10;2;5;4;0;4
141;45;No;Travel_Rarely;Research & Development;29;3;Medical;3;Male;3;Research Scientist;4;Single;3452;5;No;3;2;9;2;6;5;0;3
142;38;No;Travel_Rarely;Research & Development;3;5;Technical Degree;4;Female;3;Research Scientist;3;Single;4317;3;Yes;4;2;19;2;3;2;2;2
143;30;No;Travel_Rarely;Research & Development;18;3;Life Sciences;1;Female;3;Research Scientist;3;Single;2632;1;No;3;3;5;4;5;4;0;4
144;32;No;Travel_Frequently;Sales;9;2;Medical;4;Male;1;Sales Executive;4;Divorced;4668;0;No;3;4;9;2;8;7;0;7
145;30;No;Travel_Rarely;Research & Development;5;3;Technical Degree;4;Female;3;Research Scientist;1;Divorced;3204;5;No;3;4;8;3;3;2;2;2
146;30;No;Travel_Rarely;Research & Development;2;1;Medical;2;Male;2;Laboratory Technician;4;Single;2720;0;No;3;4;6;3;5;3;1;2
147;41;No;Travel_Frequently;Research & Development;10;3;Life Sciences;4;Male;2;Manager;1;Divorced;17181;4;No;3;2;21;2;7;6;7;7
148;41;No;Travel_Rarely;Research & Development;9;4;Life Sciences;3;Male;3;Laboratory Technician;1;Married;2238;2;No;4;4;7;2;5;0;1;4
149;19;No;Travel_Rarely;Research & Development;3;1;Medical;2;Female;3;Laboratory Technician;2;Single;1483;1;No;3;4;1;3;1;0;0;0
150;40;No;Travel_Frequently;Research & Development;26;3;Medical;2;Female;3;Research Scientist;2;Divorced;5605;1;No;3;1;20;2;20;7;2;13
151;35;No;Travel_Rarely;Sales;1;5;Marketing;3;Male;3;Sales Executive;2;Married;7295;1;No;3;1;10;3;10;8;0;6
152;53;No;Travel_Rarely;Sales;6;2;Marketing;2;Male;3;Sales Representative;3;Married;2306;2;Yes;4;4;13;3;7;7;4;5
153;45;No;Travel_Rarely;Research & Development;9;3;Life Sciences;2;Male;3;Laboratory Technician;2;Divorced;2348;8;No;3;3;20;2;17;9;0;15
154;32;No;Travel_Frequently;Sales;8;3;Marketing;2;Female;3;Sales Executive;4;Single;8998;1;No;3;4;9;2;9;8;3;7
155;29;No;Non-Travel;Research & Development;1;1;Technical Degree;4;Male;3;Manufacturing Director;3;Married;4319;1;No;3;1;10;1;10;7;0;9
156;51;No;Travel_Rarely;Research & Development;7;4;Medical;2;Male;2;Manufacturing Director;3;Married;6132;2;No;3;3;10;2;1;0;0;0
157;58;No;Travel_Rarely;Research & Development;9;3;Medical;2;Female;2;Research Scientist;2;Married;3346;4;Yes;4;2;9;3;1;0;0;0
158;40;No;Travel_Rarely;Sales;4;4;Marketing;3;Male;2;Sales Executive;4;Married;10855;7;No;3;1;15;2;12;11;2;11
159;34;No;Travel_Frequently;Sales;2;4;Marketing;3;Female;3;Sales Representative;3;Married;2231;6;No;3;4;6;3;4;3;1;2
160;22;No;Travel_Rarely;Research & Development;19;1;Medical;3;Male;3;Research Scientist;4;Married;2323;1;No;4;1;2;6;2;2;2;2
161;27;No;Non-Travel;Research & Development;9;3;Medical;4;Male;3;Research Scientist;2;Divorced;2024;6;No;3;4;6;1;2;2;2;2
162;28;No;Travel_Rarely;Research & Development;21;3;Medical;3;Male;3;Research Scientist;4;Married;2713;1;No;3;3;5;2;5;2;0;2
163;57;No;Travel_Rarely;Research & Development;24;2;Life Sciences;3;Male;4;Healthcare Representative;4;Divorced;9439;3;Yes;3;2;12;2;5;3;1;4
164;27;No;Non-Travel;Research & Development;3;3;Medical;3;Male;2;Research Scientist;3;Divorced;2566;1;Yes;3;4;1;2;1;1;0;1
165;50;No;Travel_Rarely;Research & Development;11;3;Life Sciences;3;Female;3;Manager;2;Single;19926;3;No;3;2;21;5;5;4;4;4
166;41;No;Travel_Rarely;Research & Development;14;3;Life Sciences;1;Male;3;Research Scientist;3;Divorced;2451;4;No;3;1;13;2;9;8;1;8
167;30;No;Travel_Rarely;Sales;5;3;Life Sciences;2;Female;3;Sales Executive;4;Married;9419;2;No;3;3;12;2;10;9;7;4
168;38;No;Travel_Rarely;Sales;1;4;Life Sciences;1;Female;2;Sales Executive;4;Single;8686;4;No;4;3;12;2;8;3;0;7
169;32;No;Travel_Rarely;Research & Development;6;5;Life Sciences;3;Male;3;Research Scientist;3;Single;3038;3;No;4;1;8;2;5;4;1;4
170;27;No;Travel_Rarely;Research & Development;17;3;Technical Degree;3;Male;3;Research Scientist;2;Married;3058;0;Yes;3;4;6;3;5;2;1;1
171;19;Yes;Travel_Frequently;Sales;1;1;Technical Degree;3;Female;1;Sales Representative;1;Single;2325;0;No;4;1;1;5;0;0;0;0
172;36;No;Travel_Frequently;Research & Development;3;2;Medical;4;Male;3;Laboratory Technician;2;Single;2088;4;No;3;3;13;3;8;7;7;2
173;30;No;Non-Travel;Research & Development;9;3;Medical;3;Male;3;Laboratory Technician;1;Divorced;3072;1;No;3;3;12;4;12;9;6;10
174;45;No;Travel_Rarely;Sales;4;2;Life Sciences;3;Female;3;Sales Executive;1;Divorced;5006;4;Yes;3;1;9;3;5;4;0;3
175;56;No;Travel_Rarely;Research & Development;8;3;Life Sciences;3;Female;3;Research Scientist;1;Divorced;4257;4;Yes;3;3;19;3;2;2;2;2
176;33;No;Travel_Rarely;Research & Development;2;3;Life Sciences;3;Male;3;Research Scientist;4;Single;2500;0;No;3;1;4;2;3;1;0;2
177;19;Yes;Travel_Rarely;Research & Development;2;3;Life Sciences;2;Male;2;Laboratory Technician;4;Single;1102;1;No;4;3;1;3;1;0;1;0
178;46;No;Travel_Rarely;Sales;1;2;Marketing;2;Female;3;Sales Executive;1;Divorced;10453;1;No;4;3;24;2;24;13;15;7
179;38;No;Travel_Rarely;Research & Development;9;2;Life Sciences;3;Female;3;Laboratory Technician;4;Single;2288;1;No;3;3;2;3;2;2;2;1
180;31;No;Travel_Rarely;Research & Development;12;1;Medical;3;Female;3;Research Scientist;4;Married;3929;8;Yes;4;3;7;0;4;2;0;2
181;34;No;Travel_Rarely;Research & Development;27;2;Medical;4;Female;3;Research Scientist;2;Single;2311;2;No;3;4;9;3;3;2;1;2
182;41;Yes;Travel_Rarely;Sales;20;2;Marketing;2;Female;3;Sales Representative;2;Single;3140;1;Yes;4;4;4;5;4;3;0;2
183;50;No;Travel_Rarely;Research & Development;1;3;Medical;3;Male;2;Laboratory Technician;3;Married;3690;2;No;3;4;5;2;3;2;0;2
